,Country,Region,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
0,Switzerland,Western Europe,7.480199813842773,7.552696228027344,7.407703399658203,2.272113800048828,1.4522446393966675,1.5262786149978638,1.0519890785217285,0.5715141296386719,0.26346397399902344,0.34261566400527954
1,Iceland,Western Europe,7.493599891662598,7.613283157348633,7.3739166259765625,2.4008755683898926,1.3801631927490234,1.623651146888733,1.025652527809143,0.5909053683280945,0.35435640811920166,0.11797972768545151
2,Denmark,Western Europe,7.600100040435791,7.666658401489258,7.533541679382324,2.3928909301757812,1.3834385871887207,1.5725950002670288,0.9960188865661621,0.5923560857772827,0.25231999158859253,0.41047319769859314
3,Norway,Western Europe,7.553899765014648,7.6156392097473145,7.492160320281982,2.2407641410827637,1.487766981124878,1.5815483331680298,1.028122901916504,0.6034998297691345,0.271304190158844,0.3408835232257843
4,Canada,North America,7.27810001373291,7.356538772583008,7.1996612548828125,2.192688465118408,1.3648960590362549,1.5047409534454346,1.0388115644454956,0.5839518904685974,0.2850203514099121,0.3080379068851471
5,Finland,Western Europe,7.768899917602539,7.829887866973877,7.707911968231201,2.7136778831481934,1.340242862701416,1.587275743484497,0.9861449599266052,0.5958953499794006,0.15270842611789703,0.39291271567344666
6,Netherlands,Western Europe,7.487599849700928,7.542098045349121,7.433101654052734,2.392894744873047,1.3960204124450684,1.521903395652771,0.9993137121200562,0.5570752024650574,0.322439581155777,0.29797807335853577
7,Sweden,Western Europe,7.343299865722656,7.416332721710205,7.270267009735107,2.2455272674560547,1.3865772485733032,1.4873067140579224,1.0092029571533203,0.5744203925132751,0.26702430844306946,0.3732021749019623
8,New Zealand,Australia and New Zealand,7.307499885559082,7.38289213180542,7.232107639312744,2.126791477203369,1.302586317062378,1.5572339296340942,1.0256352424621582,0.5851464867591858,0.3298426866531372,0.3802809417247772
9,Australia,Australia and New Zealand,7.228000164031982,7.314587593078613,7.141412734985352,2.0942869186401367,1.371545433998108,1.547957420349121,1.035531997680664,0.557171642780304,0.33154916763305664,0.28996217250823975
10,Israel,Middle East and Northern Africa,7.138700008392334,7.2059760093688965,7.0714240074157715,2.6650524139404297,1.2758396863937378,1.454642415046692,1.0289690494537354,0.37057629227638245,0.26147475838661194,0.08212055265903473
11,Costa Rica,Latin America and Caribbean,7.167399883270264,7.254207611083984,7.080592155456543,2.932985782623291,1.0342495441436768,1.4411207437515259,0.9631057381629944,0.5580353736877441,0.14439800381660461,0.09347061067819595
12,Austria,Western Europe,7.245999813079834,7.312841415405273,7.1791582107543945,2.3775482177734375,1.3755419254302979,1.4752224683761597,1.0157766342163086,0.5320748090744019,0.24356669187545776,0.22622106969356537
13,Mexico,Latin America and Caribbean,6.5945000648498535,6.686737060546875,6.502263069152832,2.761198043823242,1.069790005683899,1.323075771331787,0.8611137866973877,0.4331178069114685,0.07354473322629929,0.07270713150501251
14,United States,North America,6.892300128936768,6.986233711242676,6.798366546630859,2.2661423683166504,1.4327887296676636,1.45733642578125,0.8742164969444275,0.4541560411453247,0.2799026072025299,0.12773467600345612
15,Brazil,Latin America and Caribbean,6.299799919128418,6.402670383453369,6.196929454803467,2.4802939891815186,1.0041381120681763,1.4388982057571411,0.801733672618866,0.3898608386516571,0.09922541677951813,0.0856592208147049
16,Luxembourg,Western Europe,7.0903000831604,7.15248966217041,7.028110504150391,1.9540858268737793,1.6087615489959717,1.478806734085083,1.0124820470809937,0.526162326335907,0.19430039823055267,0.3156965672969818
17,Ireland,Western Europe,7.021100044250488,7.101520538330078,6.940679550170898,1.845146656036377,1.499218225479126,1.553267240524292,0.9993114471435547,0.5156188011169434,0.29825177788734436,0.31024226546287537
18,Belgium,Western Europe,6.922999858856201,6.988406181335449,6.857593536376953,2.234879493713379,1.3556736707687378,1.5043061971664429,0.9861642718315125,0.4725590944290161,0.15979763865470886,0.20966503024101257
19,United Arab Emirates,Middle East and Northern Africa,6.82450008392334,6.900745391845703,6.748254776000977,2.1449031829833984,1.5026297569274902,1.309763789176941,0.8248100280761719,0.5984492301940918,0.26228779554367065,0.1816757768392563
20,United Kingdom,Western Europe,7.053699970245361,7.125649452209473,6.98175048828125,2.111733913421631,1.3329524993896484,1.5375850200653076,0.9960178732872009,0.44952207803726196,0.3482462763786316,0.2775951623916626
21,Venezuela,Latin America and Caribbean,4.706600189208984,4.8345417976379395,4.578658580780029,1.24989914894104,0.9595022201538086,1.4270738363265991,0.8050535917282104,0.15359291434288025,0.06421070545911789,0.047284096479415894
22,Singapore,Southeastern Asia,6.26200008392334,6.32423734664917,6.19976282119751,0.8069539070129395,1.571575403213501,1.463217854499817,1.1408991813659668,0.5560605525970459,0.2705881893634796,0.4526868462562561
23,Panama,Latin America and Caribbean,6.321300029754639,6.433317184448242,6.209282875061035,2.1412301063537598,1.1493990421295166,1.4415618181228638,0.9104026556015015,0.5156651139259338,0.1087908148765564,0.05428514629602432
24,Germany,Western Europe,6.985000133514404,7.045125484466553,6.924874782562256,2.1498031616210938,1.3725717067718506,1.4539839029312134,0.9869628548622131,0.49527719616889954,0.26147058606147766,0.2649790048599243
25,Chile,Latin America and Caribbean,6.443999767303467,6.533685684204102,6.354313850402832,2.396679401397705,1.158935308456421,1.368753433227539,0.9202773571014404,0.3565865457057953,0.1866130828857422,0.05610714107751846
26,Qatar,Middle East and Northern Africa,6.374499797821045,6.567976474761963,6.181023120880127,1.5649657249450684,1.6840938329696655,1.3130621910095215,0.8708993196487427,0.5553094148635864,0.21967847645282745,0.16652020812034607
27,France,Western Europe,6.592100143432617,6.666644096374512,6.517556190490723,2.0208849906921387,1.323931336402893,1.4720518589019775,1.0454093217849731,0.43554550409317017,0.11109529435634613,0.1831895262002945
28,Argentina,Latin America and Caribbean,6.086299896240234,6.1915388107299805,5.981060981750488,2.096292734146118,1.0915156602859497,1.4315075874328613,0.8807793259620667,0.4706374406814575,0.06591980159282684,0.049697425216436386
29,Czech Republic,Central and Eastern Europe,6.852099895477295,6.920901298522949,6.783298492431641,2.635958671569824,1.269055962562561,1.4874300956726074,0.9201909899711609,0.4568779468536377,0.046069566160440445,0.03649161010980606
30,Uruguay,Latin America and Caribbean,6.293300151824951,6.3882246017456055,6.198375701904297,2.0141539573669434,1.1243681907653809,1.464682936668396,0.8906638026237488,0.5225023031234741,0.12650874257087708,0.15045656263828278
