,Year,Country name,Region,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth
2,2012,Switzerland,Western Europe,7.7762088775634775,10.935775756835938,0.946863889694214,72.77999877929688
3,2014,Switzerland,Western Europe,7.4928035736083975,10.95462417602539,0.9587963223457336,73.05999755859375
5,2016,Switzerland,Western Europe,7.45851993560791,10.958174705505373,0.9276282787322998,73.5
6,2017,Switzerland,Western Europe,7.473593235015869,10.95797634124756,0.949661374092102,73.80000305175781
7,2018,Switzerland,Western Europe,7.508586883544923,10.975945472717283,0.9302909970283508,74.0999984741211
9,2012,Iceland,Western Europe,7.590660095214844,10.594923973083496,0.9789652824401855,72.76000213623047
10,2013,Iceland,Western Europe,7.501394271850586,10.627643585205078,0.9671449065208436,72.83999633789062
12,2016,Iceland,Western Europe,7.5100345611572275,10.728341102600098,0.9849400520324708,73.0
13,2017,Iceland,Western Europe,7.4762139320373535,10.746841430664062,0.966752827167511,73.0
19,2011,Denmark,Western Europe,7.78823184967041,10.701070785522461,0.9617361426353456,70.62000274658203
20,2012,Denmark,Western Europe,7.519909381866455,10.699570655822754,0.9514371752738952,70.83999633789062
21,2013,Denmark,Western Europe,7.588606834411621,10.704691886901855,0.9647079706192015,71.05999755859375
22,2014,Denmark,Western Europe,7.507559299468994,10.71568489074707,0.9563443064689636,71.27999877929688
24,2016,Denmark,Western Europe,7.557782649993896,10.7362060546875,0.9544515013694764,71.80000305175781
25,2017,Denmark,Western Europe,7.59370231628418,10.75112533569336,0.9521000981330872,72.0999984741211
26,2018,Denmark,Western Europe,7.648785591125487,10.755594253540039,0.9582188725471495,72.4000015258789
29,2012,Norway,Western Europe,7.678277015686035,11.050944328308104,0.9476574063301086,72.23999786376953
30,2014,Norway,Western Europe,7.4444708824157715,11.057523727416992,0.9411619305610656,72.68000030517578
32,2016,Norway,Western Europe,7.596331596374513,11.069128036499023,0.9597428441047668,73.0
33,2017,Norway,Western Europe,7.578744888305664,11.079061508178713,0.95012766122818,73.0999984741211
34,2018,Norway,Western Europe,7.4442620277404785,11.085625648498537,0.9659619331359864,73.19999694824219
40,2011,Canada,North America,7.426053524017334,10.63502025604248,0.9216692447662354,72.36000061035156
41,2012,Canada,North America,7.415144443511963,10.640521049499512,0.948128342628479,72.5199966430664
42,2013,Canada,North America,7.593793869018555,10.653472900390623,0.9362393617630004,72.68000030517578
43,2014,Canada,North America,7.304257869720459,10.670794486999512,0.9178363084793092,72.83999633789062
45,2016,Canada,North America,7.244845867156982,10.674481391906738,0.9243925213813782,73.19999694824219
46,2017,Canada,North America,7.414868354797362,10.692344665527344,0.9337489604949952,73.4000015258789
47,2018,Canada,North America,7.175496578216553,10.701248168945312,0.9227187633514404,73.5999984741211
51,2011,Finland,Western Europe,7.354225158691406,10.61357879638672,0.9378568530082704,70.63999938964844
52,2012,Finland,Western Europe,7.4202094078063965,10.59445571899414,0.9277393817901612,70.87999725341797
53,2013,Finland,Western Europe,7.44463586807251,10.582239151000977,0.9408690929412842,71.12000274658203
54,2014,Finland,Western Europe,7.384571075439452,10.57176685333252,0.952016532421112,71.36000061035156
56,2016,Finland,Western Europe,7.659843444824219,10.588077545166016,0.953940451145172,71.69999694824219
57,2017,Finland,Western Europe,7.788251876831055,10.61117172241211,0.9638264179229736,71.80000305175781
58,2018,Finland,Western Europe,7.858107089996338,10.636059761047363,0.9621550440788268,71.9000015258789
63,2011,Netherlands,Western Europe,7.563797950744629,10.737844467163086,0.9383960962295532,71.5199966430664
64,2012,Netherlands,Western Europe,7.470715522766112,10.723517417907717,0.9388846755027772,71.63999938964844
65,2013,Netherlands,Western Europe,7.406550407409668,10.718664169311523,0.9247054457664491,71.76000213623047
66,2014,Netherlands,Western Europe,7.321188449859619,10.72916316986084,0.9089957475662231,71.87999725341797
68,2016,Netherlands,Western Europe,7.540877342224121,10.763623237609863,0.925944209098816,72.0999984741211
69,2017,Netherlands,Western Europe,7.458965301513673,10.788752555847168,0.9365013241767884,72.19999694824219
70,2018,Netherlands,Western Europe,7.463097095489503,10.8092041015625,0.9394431710243224,72.30000305175781
76,2011,Sweden,Western Europe,7.382232189178468,10.686362266540527,0.9205212593078612,71.9800033569336
77,2012,Sweden,Western Europe,7.560147762298584,10.676097869873047,0.929397463798523,72.05999755859375
78,2013,Sweden,Western Europe,7.434010505676269,10.679959297180176,0.9156480431556702,72.13999938964844
79,2014,Sweden,Western Europe,7.239147663116455,10.69574737548828,0.9327198266983032,72.22000122070312
81,2016,Sweden,Western Europe,7.368744373321532,10.748672485351562,0.9120606780052184,72.4000015258789
82,2017,Sweden,Western Europe,7.286804676055907,10.756823539733887,0.9140167832374572,72.5
83,2018,Sweden,Western Europe,7.3747920989990225,10.766932487487793,0.9306795597076416,72.5999984741211
88,2011,New Zealand,Australia and New Zealand,7.190638065338135,10.396185874938963,0.953649878501892,72.12000274658203
89,2012,New Zealand,Australia and New Zealand,7.2496299743652335,10.415390968322754,0.9300286173820496,72.23999786376953
90,2013,New Zealand,Australia and New Zealand,7.280151844024657,10.42768669128418,0.9581534862518309,72.36000061035156
91,2014,New Zealand,Australia and New Zealand,7.305892467498778,10.44741916656494,0.9423808455467224,72.4800033569336
93,2016,New Zealand,Australia and New Zealand,7.225687980651855,10.485048294067383,0.9366028904914856,72.80000305175781
94,2017,New Zealand,Australia and New Zealand,7.3271827697753915,10.493656158447266,0.9549206495285034,73.0
95,2018,New Zealand,Australia and New Zealand,7.370285987854004,10.501477241516113,0.953862726688385,73.19999694824219
100,2011,Australia,Australia and New Zealand,7.405616283416747,10.642902374267578,0.9670292139053344,72.30000305175781
101,2012,Australia,Australia and New Zealand,7.19558572769165,10.663228988647461,0.9445990324020386,72.4000015258789
102,2013,Australia,Australia and New Zealand,7.364169120788574,10.671697616577148,0.9282051920890808,72.5
103,2014,Australia,Australia and New Zealand,7.28855037689209,10.681600570678713,0.9237987399101256,72.5999984741211
105,2016,Australia,Australia and New Zealand,7.250080108642577,10.70309829711914,0.942334234714508,73.0
106,2017,Australia,Australia and New Zealand,7.25703763961792,10.706581115722656,0.9499578475952148,73.30000305175781
107,2018,Australia,Australia and New Zealand,7.176993370056152,10.721020698547363,0.940137267112732,73.5999984741211
113,2011,Israel,Middle East and Northern Africa,7.43314790725708,10.327394485473633,0.8926965594291687,72.45999908447266
114,2012,Israel,Middle East and Northern Africa,7.110854625701903,10.328171730041504,0.9034155011177064,72.5199966430664
115,2013,Israel,Middle East and Northern Africa,7.320563316345215,10.34980010986328,0.9085158705711364,72.58000183105469
116,2014,Israel,Middle East and Northern Africa,7.400570392608643,10.364137649536133,0.8890697360038757,72.63999938964844
118,2016,Israel,Middle East and Northern Africa,7.159010887145996,10.394775390625,0.8896607756614685,72.9000015258789
119,2017,Israel,Middle East and Northern Africa,7.33103609085083,10.40826416015625,0.9164408445358276,73.0999984741211
120,2018,Israel,Middle East and Northern Africa,6.9271788597106925,10.42457389831543,0.9095954298973083,73.30000305175781
126,2011,Costa Rica,Latin America and Caribbean,7.228888511657715,9.502802848815918,0.892048180103302,69.90000152587889
127,2012,Costa Rica,Latin America and Caribbean,7.272250175476074,9.538064002990724,0.9022068977355956,70.09999847412111
128,2013,Costa Rica,Latin America and Caribbean,7.158000469207764,9.54932975769043,0.9020692706108092,70.30000305175781
129,2014,Costa Rica,Latin America and Caribbean,7.247086048126222,9.573064804077148,0.9142112135887146,70.5
131,2016,Costa Rica,Latin America and Caribbean,7.135617733001709,9.628722190856934,0.9007012844085693,70.9000015258789
132,2017,Costa Rica,Latin America and Caribbean,7.225181579589844,9.650206565856934,0.9216971397399902,71.0999984741211
133,2018,Costa Rica,Latin America and Caribbean,7.1410746574401855,9.669425964355467,0.8758724331855774,71.30000305175781
137,2011,Austria,Western Europe,7.470512866973878,10.702181816101074,0.94415682554245,71.54000091552734
138,2012,Austria,Western Europe,7.400688648223878,10.7044038772583,0.9451423883438109,71.68000030517578
139,2013,Austria,Western Europe,7.498802661895753,10.69876480102539,0.949809193611145,71.81999969482422
140,2014,Austria,Western Europe,6.949999809265138,10.69920253753662,0.898920476436615,71.95999908447266
142,2016,Austria,Western Europe,7.04807186126709,10.70244312286377,0.92631858587265,72.4000015258789
143,2017,Austria,Western Europe,7.2937278747558585,10.724075317382812,0.9062178134918212,72.69999694824219
144,2018,Austria,Western Europe,7.3960018157958975,10.74189281463623,0.9116681218147278,73.0
150,2011,Mexico,Latin America and Caribbean,6.909515380859375,9.683424949645996,0.8240640759468079,66.68000030517578
151,2012,Mexico,Latin America and Caribbean,7.32018518447876,9.70470905303955,0.7672794461250305,66.86000061035156
152,2013,Mexico,Latin America and Caribbean,7.442546367645264,9.70412540435791,0.7591384053230286,67.04000091552734
153,2014,Mexico,Latin America and Caribbean,6.679831027984619,9.718518257141113,0.7819649577140808,67.22000122070311
155,2016,Mexico,Latin America and Caribbean,6.8241729736328125,9.753050804138184,0.893492579460144,67.69999694824219
156,2017,Mexico,Latin America and Caribbean,6.410299301147461,9.760567665100098,0.7998393774032593,68.0
157,2018,Mexico,Latin America and Caribbean,6.549578666687013,9.769919395446776,0.8580688834190369,68.30000305175781
163,2011,United States,North America,7.115138530731201,10.815644264221193,0.9217050075531006,68.68000030517578
164,2012,United States,North America,7.026226997375487,10.83013153076172,0.9031922817230223,68.66000366210939
165,2013,United States,North America,7.249285221099853,10.83965301513672,0.9253968596458436,68.63999938964844
166,2014,United States,North America,7.151114463806152,10.857497215270996,0.9020970463752748,68.62000274658203
168,2016,United States,North America,6.803599834442139,10.885554313659668,0.8967512845993042,68.5
169,2017,United States,North America,6.991759300231934,10.90090560913086,0.9210028648376464,68.40000152587889
170,2018,United States,North America,6.8826847076416025,10.922465324401855,0.9038560390472412,68.30000305175781
176,2011,Brazil,Latin America and Caribbean,7.037816524505615,9.61401081085205,0.9162529110908508,64.76000213623047
177,2012,Brazil,Latin America and Caribbean,6.660003662109375,9.623767852783203,0.8903141021728516,65.01999664306639
178,2013,Brazil,Latin America and Caribbean,7.14028263092041,9.644256591796877,0.9104217290878296,65.27999877929689
179,2014,Brazil,Latin America and Caribbean,6.980998992919923,9.640450477600098,0.8983164429664612,65.54000091552734
181,2016,Brazil,Latin America and Caribbean,6.374817371368407,9.552306175231934,0.912455141544342,66.0
182,2017,Brazil,Latin America and Caribbean,6.3329291343688965,9.554174423217773,0.9046942591667176,66.19999694824219
183,2018,Brazil,Latin America and Caribbean,6.1909217834472665,9.55793285369873,0.8815052509307861,66.40000152587889
186,2011,Luxembourg,Western Europe,7.101400375366211,11.429598808288574,0.9340906143188475,71.87999725341797
187,2012,Luxembourg,Western Europe,6.964097023010254,11.40205192565918,0.9139077067375184,72.05999755859375
188,2013,Luxembourg,Western Europe,7.130809307098389,11.414831161499025,0.9166832566261292,72.23999786376953
189,2014,Luxembourg,Western Europe,6.891127109527588,11.447376251220705,0.875469446182251,72.41999816894531
191,2016,Luxembourg,Western Europe,6.96734094619751,11.460800170898438,0.9412605762481691,72.5999984741211
192,2017,Luxembourg,Western Europe,7.061380863189697,11.454002380371096,0.9054355025291444,72.5999984741211
193,2018,Luxembourg,Western Europe,7.242630958557129,11.453927993774414,0.9021924138069152,72.5999984741211
198,2011,Ireland,Western Europe,7.006904125213622,10.717687606811523,0.9773775935173036,71.5999984741211
199,2012,Ireland,Western Europe,6.964645385742188,10.713821411132812,0.9617859125137328,71.69999694824219
200,2013,Ireland,Western Europe,6.760085105895996,10.724811553955078,0.9551883339881896,71.80000305175781
201,2014,Ireland,Western Europe,7.018379211425781,10.79749870300293,0.9677446484565736,71.9000015258789
203,2016,Ireland,Western Europe,7.040731430053711,11.054490089416504,0.9581440091133118,72.0999984741211
204,2017,Ireland,Western Europe,7.060155391693115,11.117440223693848,0.943481981754303,72.19999694824219
205,2018,Ireland,Western Europe,6.9623355865478525,11.163328170776367,0.9378623962402344,72.30000305175781
210,2011,Belgium,Western Europe,7.111363887786865,10.627375602722168,0.936955451965332,70.91999816894531
211,2012,Belgium,Western Europe,6.935122013092041,10.62246036529541,0.9271170496940612,71.04000091552734
212,2013,Belgium,Western Europe,7.103661060333253,10.619572639465332,0.9091861844062804,71.16000366210938
213,2014,Belgium,Western Europe,6.855329036712647,10.63007926940918,0.9435491561889648,71.27999877929688
215,2016,Belgium,Western Europe,6.948936462402344,10.647414207458496,0.9289640784263612,71.5999984741211
216,2017,Belgium,Western Europe,6.928347587585449,10.66098403930664,0.921639084815979,71.80000305175781
217,2018,Belgium,Western Europe,6.892171859741211,10.672445297241213,0.9298155307769777,72.0
221,2011,United Arab Emirates,Middle East and Northern Africa,7.118701457977295,10.974449157714844,0.8813689351081848,66.41999816894531
222,2012,United Arab Emirates,Middle East and Northern Africa,7.217766761779785,10.99237060546875,0.8558768033981323,66.44000244140625
223,2013,United Arab Emirates,Middle East and Northern Africa,6.620951175689697,11.029850959777832,0.8637157678604126,66.45999908447266
224,2014,United Arab Emirates,Middle East and Northern Africa,6.539854526519775,11.065750122070312,,66.48000335693361
226,2016,United Arab Emirates,Middle East and Northern Africa,6.8309502601623535,11.122929573059082,0.84937983751297,66.69999694824219
227,2017,United Arab Emirates,Middle East and Northern Africa,7.039419651031494,11.11681842803955,0.8355273604393005,66.90000152587889
228,2018,United Arab Emirates,Middle East and Northern Africa,6.603743553161621,11.127677917480467,0.8510413169860841,67.09999847412111
234,2011,United Kingdom,Western Europe,6.869248867034912,10.508021354675293,0.9487106800079346,71.37999725341797
235,2012,United Kingdom,Western Europe,6.880784034729004,10.515772819519043,0.9345749616622924,71.45999908447266
236,2013,United Kingdom,Western Europe,6.918055057525635,10.529394149780273,0.936884105205536,71.54000091552734
237,2014,United Kingdom,Western Europe,6.758147716522218,10.551945686340332,0.9102473258972168,71.62000274658203
239,2016,United Kingdom,Western Europe,6.8242835998535165,10.579216957092283,0.9540681838989258,71.9000015258789
240,2017,United Kingdom,Western Europe,7.103273391723633,10.590446472167967,0.9374952912330629,72.0999984741211
241,2018,United Kingdom,Western Europe,7.233445167541504,10.59694766998291,0.9284839034080504,72.30000305175781
242,2011,Oman,Middle East and Northern Africa,6.852982044219972,10.648311614990234,,65.5
248,2011,Venezuela,Latin America and Caribbean,6.579789161682129,9.739870071411133,0.9306198954582214,65.73999786376953
249,2012,Venezuela,Latin America and Caribbean,7.066577434539795,9.780121803283693,0.9316296577453612,65.77999877929689
250,2013,Venezuela,Latin America and Caribbean,6.552796363830566,9.779354095458984,0.8963010907173157,65.81999969482422
251,2014,Venezuela,Latin America and Caribbean,6.136096477508545,9.725855827331543,0.9039558172225952,65.86000061035156
253,2016,Venezuela,Latin America and Caribbean,4.041114807128906,9.534058570861816,0.9019492864608764,66.09999847412111
254,2017,Venezuela,Latin America and Caribbean,5.070750713348389,9.439295768737793,0.895879328250885,66.30000305175781
255,2018,Venezuela,Latin America and Caribbean,5.0056633949279785,9.270280838012695,0.8868820667266846,66.5
261,2011,Singapore,Southeastern Asia,6.561041831970215,11.226751327514648,0.9044739007949828,75.0199966430664
262,2013,Singapore,Southeastern Asia,6.5332069396972665,11.275893211364744,0.8079105615615845,75.45999908447266
263,2014,Singapore,Southeastern Asia,7.06236457824707,11.301012992858887,0.8220330476760864,75.68000030517578
265,2016,Singapore,Southeastern Asia,6.033480644226074,11.322025299072266,0.9251282215118408,76.19999694824219
266,2017,Singapore,Southeastern Asia,6.3784379959106445,11.356685638427734,0.8973498940467834,76.5
267,2018,Singapore,Southeastern Asia,6.374564170837402,,0.9028406739234924,76.80000305175781
273,2011,Panama,Latin America and Caribbean,7.248080730438232,9.74647331237793,0.8762841820716858,68.5
274,2012,Panama,Latin America and Caribbean,6.859835624694824,9.82235050201416,0.897391140460968,68.69999694824219
275,2013,Panama,Latin America and Caribbean,6.866480350494385,9.871889114379883,0.8957198262214661,68.90000152587889
276,2014,Panama,Latin America and Caribbean,6.631171226501465,9.904386520385742,0.8734742403030396,69.09999847412111
278,2016,Panama,Latin America and Caribbean,6.117638111114503,9.974536895751953,0.8824602365493774,69.40000152587889
279,2017,Panama,Latin America and Caribbean,6.5676589012146,10.010862350463867,0.9119048118591307,69.5
280,2018,Panama,Latin America and Caribbean,6.281434059143066,10.04973030090332,0.9043897986412048,69.59999847412111
286,2011,Germany,Western Europe,6.621312141418457,10.661779403686523,0.9472366571426392,70.9800033569336
287,2012,Germany,Western Europe,6.702362060546875,10.664809226989746,0.9264066219329834,71.05999755859375
288,2013,Germany,Western Europe,6.96512508392334,10.666964530944824,0.9314205646514891,71.13999938964844
289,2014,Germany,Western Europe,6.9842143058776855,10.68190860748291,0.9375589489936828,71.22000122070312
291,2016,Germany,Western Europe,6.873763084411621,10.701711654663086,0.9060292840003968,71.5999984741211
292,2017,Germany,Western Europe,7.074324607849121,10.719499588012695,0.8921660780906677,71.9000015258789
293,2018,Germany,Western Europe,7.118364334106445,10.730944633483887,0.9197631478309632,72.19999694824219
299,2011,Chile,Latin America and Caribbean,6.526334762573242,9.92513656616211,0.8190788626670837,69.04000091552734
300,2012,Chile,Latin America and Caribbean,6.599128723144531,9.967881202697754,0.8552355766296387,69.18000030517578
301,2013,Chile,Latin America and Caribbean,6.740153789520264,9.9987211227417,0.8624047040939331,69.31999969482422
302,2014,Chile,Latin America and Caribbean,6.84423828125,10.007634162902832,0.8615521788597107,69.45999908447266
304,2016,Chile,Latin America and Caribbean,6.579056262969972,10.026341438293457,0.8413881659507751,69.69999694824219
305,2017,Chile,Latin America and Caribbean,6.320119380950928,10.033068656921387,0.8798407912254333,69.80000305175781
306,2018,Chile,Latin America and Caribbean,6.436220645904541,10.065919876098633,0.8900849223136902,69.90000152587889
309,2011,Qatar,Middle East and Northern Africa,6.591604232788086,11.770276069641113,0.8573505878448486,67.01999664306639
310,2012,Qatar,Middle East and Northern Africa,6.611298561096191,11.738482475280762,0.8381316661834717,67.33999633789061
317,2011,France,Western Europe,6.959185123443604,10.530511856079102,0.9212855696678162,72.4000015258789
318,2012,France,Western Europe,6.649365425109862,10.52749729156494,0.937097430229187,72.5999984741211
319,2013,France,Western Europe,6.667121410369872,10.528095245361328,0.9076908230781556,72.80000305175781
320,2014,France,Western Europe,6.466867923736572,10.532729148864746,0.8775045275688171,73.0
322,2016,France,Western Europe,6.475208759307861,10.546988487243652,0.8849229216575623,73.4000015258789
323,2017,France,Western Europe,6.635222434997559,10.56115436553955,0.9314945936203004,73.5999984741211
324,2018,France,Western Europe,6.665903568267822,10.573351860046387,0.9214630722999572,73.80000305175781
330,2011,Argentina,Latin America and Caribbean,6.775805473327638,9.884780883789062,0.8890734910964966,67.48000335693361
